failed_logins,request_rate,commands_count,sql_payload,honeytoken_access,session_time,label
2,32,1,0,0,1601,Normal
1,37,11,0,1,654,DataExfil
1,7,4,0,0,1151,Normal
2,3,2,0,0,447,Normal
2,37,2,0,0,1194,Normal
7,44,46,1,1,347,Injection
2,20,8,0,1,2123,DataExfil
4,64,32,1,0,210,Injection
4,23,8,0,1,1908,DataExfil
1,1,4,0,0,1666,Normal
1,3,3,0,0,1675,Normal
176,325,0,0,0,289,BruteForce
1,23,0,0,0,1258,Normal
48,139,1,0,0,246,BruteForce
0,22,2,0,0,613,Normal
12,1209,7,0,0,41,Recon
1,21,1,0,0,1499,Normal
1,17,4,0,0,1296,Normal
3,23,4,0,0,461,Normal
0,31,5,0,0,850,Normal
51,336,0,0,0,182,BruteForce
4,32,18,0,1,3281,DataExfil
1,1,2,0,0,812,Normal
65,128,0,0,0,276,BruteForce
3,36,0,0,0,306,Normal
2,34,5,0,0,525,Normal
0,45,34,1,0,303,Injection
1,34,0,0,0,273,Normal
0,9,0,0,0,1784,Normal
2,25,2,0,0,250,Normal
3,30,5,0,0,985,Normal
0,17,1,0,0,1712,Normal
2,12,5,0,0,1735,Normal
4,21,11,0,1,2108,DataExfil
5,34,32,1,0,548,Injection
14,1911,7,0,0,21,Recon
0,22,1,0,0,510,Normal
0,7,0,0,0,1002,Normal
17,1426,7,0,0,97,Recon
1,39,2,0,0,521,Normal
142,372,1,0,0,168,BruteForce
3,34,2,0,0,924,Normal
147,138,2,0,0,13,BruteForce
0,17,6,0,1,615,DataExfil
3,2,2,0,0,1313,Normal
12,1764,2,0,0,36,Recon
6,1413,4,0,0,33,Recon
4,57,16,0,1,1296,DataExfil
160,365,1,0,0,74,BruteForce
2,14,5,0,0,443,Normal
4,82,29,1,0,403,Injection
2,37,4,0,0,1058,Normal
78,418,1,0,0,20,BruteForce
1,1776,7,0,0,56,Recon
3,20,4,0,0,1718,Normal
2,10,2,0,0,345,Normal
0,3,5,0,0,1660,Normal
2,23,0,0,0,1664,Normal
16,1018,2,0,0,86,Recon
7,12,46,1,0,179,Injection
8,82,18,1,0,326,Injection
2,32,17,0,1,1818,DataExfil
11,769,9,0,0,83,Recon
4,148,48,1,0,97,Injection
0,26,1,0,0,573,Normal
15,1572,5,0,0,81,Recon
4,36,18,0,1,2996,DataExfil
2,1663,2,0,0,44,Recon
72,361,2,0,0,177,BruteForce
2,13,2,0,0,676,Normal
9,109,41,1,0,66,Injection
4,55,19,0,1,3182,DataExfil
3,30,1,0,0,475,Normal
116,111,2,0,0,233,BruteForce
2,17,1,0,0,819,Normal
0,35,5,0,0,586,Normal
1,45,6,0,1,2035,DataExfil
76,377,1,0,0,228,BruteForce
3,22,0,0,0,1005,Normal
1,18,1,0,0,1413,Normal
11,1362,3,0,0,56,Recon
4,15,5,0,1,3526,DataExfil
2,11,1,0,0,1681,Normal
1,29,3,0,0,1242,Normal
2,15,4,0,0,276,Normal
3,2,5,0,0,1227,Normal
2,90,42,1,0,362,Injection
2,20,5,0,0,1596,Normal
0,1169,6,0,0,19,Recon
2,73,39,1,0,330,Injection
2,8,3,0,0,549,Normal
0,8,2,0,0,1705,Normal
2,33,16,0,1,1292,DataExfil
2,1515,9,0,0,98,Recon
0,20,3,0,0,640,Normal
0,22,5,0,0,620,Normal
3,8,2,0,0,1207,Normal
3,21,1,0,0,1463,Normal
2,31,5,0,0,1687,Normal
8,42,22,1,0,147,Injection
3,32,5,0,0,1229,Normal
0,10,1,0,0,121,Normal
197,176,1,0,0,112,BruteForce
2,26,5,0,0,241,Normal
1,46,11,0,1,1027,DataExfil
2,3,2,0,0,128,Normal
6,822,9,0,0,118,Recon
7,1941,4,0,0,66,Recon
166,106,2,0,0,93,BruteForce
173,413,1,0,0,12,BruteForce
3,14,2,0,0,1097,Normal
2,12,4,0,0,1680,Normal
1,23,11,0,1,1349,DataExfil
3,29,4,0,0,814,Normal
3,18,5,0,0,1033,Normal
4,105,17,1,0,94,Injection
1,15,0,0,0,1022,Normal
1,21,1,0,0,1076,Normal
4,8,16,0,1,1987,DataExfil
3,28,6,0,1,2312,DataExfil
144,349,0,0,0,237,BruteForce
1,40,10,0,1,894,DataExfil
2,12,2,0,0,1380,Normal
0,15,0,0,0,986,Normal
3,52,18,0,1,2222,DataExfil
53,433,1,0,0,50,BruteForce
3,14,0,0,0,1227,Normal
109,244,2,0,0,37,BruteForce
0,5,0,0,0,1567,Normal
84,402,2,0,0,19,BruteForce
1,16,1,0,0,1748,Normal
1,1,4,0,0,1419,Normal
40,412,1,0,0,293,BruteForce
0,37,3,0,0,284,Normal
3,32,19,0,1,2342,DataExfil
187,469,1,0,0,139,BruteForce
0,20,1,0,0,916,Normal
74,297,0,0,0,254,BruteForce
0,14,3,0,0,609,Normal
1,24,2,0,0,245,Normal
17,1808,7,0,0,99,Recon
2,23,3,0,0,1437,Normal
3,16,1,0,0,865,Normal
7,94,15,1,0,411,Injection
2,22,1,0,0,1336,Normal
1,47,14,0,1,2761,DataExfil
1,8,0,0,0,707,Normal
0,4,0,0,0,1144,Normal
3,14,4,0,0,1447,Normal
9,72,23,1,1,148,Injection
0,57,17,0,1,1088,DataExfil
1,38,5,0,0,1787,Normal
5,91,27,1,0,424,Injection
0,25,19,0,1,1310,DataExfil
186,415,0,0,0,233,BruteForce
3,38,1,0,0,1410,Normal
149,429,1,0,0,274,BruteForce
1,8,1,0,0,573,Normal
11,1756,2,0,0,52,Recon
83,327,2,0,0,52,BruteForce
1,48,15,0,1,3074,DataExfil
2,16,4,0,0,1267,Normal
3,1314,3,0,0,19,Recon
0,22,2,0,0,1477,Normal
3,27,4,0,0,870,Normal
175,243,1,0,0,167,BruteForce
0,86,18,1,1,409,Injection
2,10,4,0,0,278,Normal
7,51,34,1,0,444,Injection
0,13,5,0,0,1261,Normal
176,125,0,0,0,280,BruteForce
161,220,0,0,0,179,BruteForce
15,1672,5,0,0,72,Recon
2,36,3,0,0,1310,Normal
1,78,49,1,1,491,Injection
2,28,2,0,0,769,Normal
0,25,1,0,0,1463,Normal
0,18,2,0,0,1697,Normal
2,11,3,0,0,421,Normal
1,38,1,0,0,407,Normal
1,36,4,0,0,472,Normal
112,235,0,0,0,79,BruteForce
3,13,0,0,0,947,Normal
0,27,4,0,0,895,Normal
1,7,10,0,1,3028,DataExfil
1,6,1,0,0,846,Normal
1,17,2,0,0,473,Normal
3,8,5,0,0,1585,Normal
12,886,9,0,0,59,Recon
197,220,2,0,0,21,BruteForce
3,8,3,0,0,634,Normal
12,1902,3,0,0,108,Recon
3,1,0,0,0,405,Normal
189,330,0,0,0,281,BruteForce
181,391,0,0,0,160,BruteForce
1,21,1,0,0,880,Normal
114,422,1,0,0,163,BruteForce
94,361,2,0,0,152,BruteForce
4,843,1,0,0,46,Recon
74,257,1,0,0,167,BruteForce
2,89,21,1,0,132,Injection
2,2,2,0,0,249,Normal
1,20,1,0,0,385,Normal
0,58,5,0,1,763,DataExfil
104,209,1,0,0,247,BruteForce
2,35,0,0,0,1021,Normal
0,34,4,0,0,1113,Normal
118,167,0,0,0,21,BruteForce
12,1142,4,0,0,22,Recon
2,6,4,0,0,162,Normal
99,250,2,0,0,296,BruteForce
2,34,1,0,0,464,Normal
2,31,0,0,0,1102,Normal
2,21,0,0,0,1299,Normal
2,7,3,0,0,728,Normal
142,139,0,0,0,110,BruteForce
91,320,1,0,0,240,BruteForce
4,125,49,1,0,151,Injection
2,37,4,0,0,717,Normal
1,1004,6,0,0,106,Recon
1,23,1,0,0,1566,Normal
52,312,1,0,0,251,BruteForce
121,272,0,0,0,197,BruteForce
188,407,2,0,0,126,BruteForce
3,34,3,0,0,743,Normal
7,51,35,1,1,164,Injection
3,9,0,0,0,248,Normal
4,37,14,0,1,841,DataExfil
3,21,3,0,0,834,Normal
3,22,0,0,0,198,Normal
4,23,9,0,1,2039,DataExfil
4,1631,8,0,0,91,Recon
2,26,19,1,0,291,Injection
1,36,2,0,0,555,Normal
2,32,7,0,1,3089,DataExfil
1,32,1,0,0,1693,Normal
3,28,0,0,0,1366,Normal
0,13,6,0,1,3110,DataExfil
0,36,5,0,0,955,Normal
0,29,14,0,1,718,DataExfil
1,10,4,0,0,771,Normal
1,13,4,0,0,279,Normal
1,20,24,1,0,461,Injection
0,14,3,0,0,1104,Normal
3,30,3,0,0,1315,Normal
1,21,2,0,0,241,Normal
0,16,13,0,1,3590,DataExfil
0,21,5,0,0,421,Normal
6,95,36,1,1,593,Injection
52,357,0,0,0,222,BruteForce
1,104,29,1,0,147,Injection
1,37,4,0,0,1496,Normal
157,118,2,0,0,39,BruteForce
0,41,19,0,1,2783,DataExfil
3,8,0,0,0,1404,Normal
3,44,7,0,1,1847,DataExfil
1,47,13,0,1,2028,DataExfil
6,75,27,1,0,293,Injection
3,21,18,0,1,1637,DataExfil
4,130,34,1,0,129,Injection
4,8,19,0,1,2004,DataExfil
177,123,1,0,0,236,BruteForce
1,21,5,0,0,990,Normal
1,4,3,0,0,1200,Normal
0,7,3,0,0,1364,Normal
119,285,2,0,0,263,BruteForce
1,18,2,0,0,278,Normal
2,19,5,0,0,783,Normal
1,38,4,0,0,1046,Normal
2,52,17,0,1,1339,DataExfil
0,33,1,0,0,950,Normal
2,28,2,0,0,1446,Normal
12,760,1,0,0,74,Recon
86,498,1,0,0,56,BruteForce
2,43,13,0,1,1201,DataExfil
100,237,1,0,0,268,BruteForce
0,30,5,0,0,1773,Normal
0,19,1,0,0,666,Normal
2,5,4,0,0,168,Normal
3,5,3,0,0,1725,Normal
165,330,2,0,0,138,BruteForce
3,10,13,0,1,1805,DataExfil
3,31,3,0,0,1104,Normal
11,1217,6,0,0,96,Recon
2,28,5,0,0,751,Normal
15,1805,9,0,0,81,Recon
0,36,2,0,0,715,Normal
146,120,1,0,0,16,BruteForce
2,18,2,0,0,1291,Normal
3,7,4,0,0,1569,Normal
0,41,14,0,1,2668,DataExfil
2,23,1,0,0,1103,Normal
2,25,4,0,0,503,Normal
8,760,2,0,0,72,Recon
0,7,5,0,0,1134,Normal
191,160,0,0,0,37,BruteForce
8,95,31,1,0,553,Injection
0,10,4,0,0,1660,Normal
15,1680,2,0,0,78,Recon
3,39,5,0,0,707,Normal
3,38,3,0,0,690,Normal
3,32,4,0,0,651,Normal
107,465,1,0,0,152,BruteForce
0,15,5,0,0,747,Normal
2,45,12,0,1,2705,DataExfil
0,6,13,0,1,2383,DataExfil
3,33,1,0,0,1131,Normal
3,27,13,0,1,3026,DataExfil
2,5,2,0,0,898,Normal
1,8,3,0,0,595,Normal
4,25,12,0,1,3214,DataExfil
182,337,1,0,0,51,BruteForce
1,12,1,0,0,894,Normal
148,358,2,0,0,123,BruteForce
1,33,3,0,0,1272,Normal
3,37,3,0,0,807,Normal
3,30,5,0,0,485,Normal
3,9,3,0,0,933,Normal
0,21,5,0,0,388,Normal
3,38,1,0,0,1714,Normal
2,5,0,0,0,250,Normal
64,253,1,0,0,142,BruteForce
8,1995,6,0,0,54,Recon
3,11,1,0,0,1062,Normal
8,140,26,1,0,336,Injection
1,33,4,0,0,665,Normal
2,18,1,0,0,1218,Normal
5,26,19,1,1,348,Injection
3,34,1,0,0,602,Normal
6,133,15,1,1,250,Injection
1,25,5,0,0,262,Normal
2,14,3,0,0,579,Normal
0,35,3,0,0,964,Normal
2,37,10,0,1,2866,DataExfil
130,453,1,0,0,47,BruteForce
0,8,5,0,0,1690,Normal
2,14,2,0,0,715,Normal
3,24,5,0,0,273,Normal
15,682,3,0,0,7,Recon
0,32,8,0,1,2820,DataExfil
8,1362,7,0,0,23,Recon
4,40,12,0,1,3112,DataExfil
3,33,3,0,0,208,Normal
4,39,13,0,1,2981,DataExfil
3,77,42,1,1,186,Injection
55,161,0,0,0,167,BruteForce
2,21,4,0,0,1468,Normal
0,3,3,0,0,1132,Normal
0,9,3,0,0,1178,Normal
0,12,17,0,1,942,DataExfil
3,12,5,0,0,678,Normal
2,26,3,0,0,724,Normal
0,38,3,0,0,624,Normal
3,64,21,1,0,465,Injection
2,26,16,0,1,793,DataExfil
2,1,5,0,0,1405,Normal
1,21,17,0,1,1379,DataExfil
66,235,2,0,0,102,BruteForce
2,14,2,0,0,1575,Normal
3,13,4,0,0,1117,Normal
0,12,15,0,1,1003,DataExfil
1,39,4,0,0,823,Normal
146,409,1,0,0,242,BruteForce
0,17,4,0,0,938,Normal
0,43,17,0,1,2327,DataExfil
2,148,27,1,1,60,Injection
2,12,4,0,0,1252,Normal
84,189,2,0,0,259,BruteForce
8,100,37,1,0,490,Injection
2,20,1,0,0,1467,Normal
2,36,1,0,0,604,Normal
3,20,0,0,0,451,Normal
2,39,1,0,0,1078,Normal
90,430,0,0,0,275,BruteForce
90,217,0,0,0,48,BruteForce
3,10,15,0,1,1228,DataExfil
5,986,8,0,0,6,Recon
1,12,2,0,0,354,Normal
0,15,1,0,0,1500,Normal
0,31,0,0,0,1422,Normal
3,25,10,0,1,1730,DataExfil
2,9,4,0,0,1777,Normal
147,453,2,0,0,204,BruteForce
0,27,12,0,1,3207,DataExfil
2,36,3,0,0,798,Normal
195,106,0,0,0,65,BruteForce
3,23,17,0,1,1513,DataExfil
165,494,0,0,0,73,BruteForce
155,303,1,0,0,40,BruteForce
1,78,44,1,0,502,Injection
84,359,1,0,0,164,BruteForce
2,27,1,0,0,1706,Normal
2,15,4,0,0,661,Normal
1,37,1,0,0,243,Normal
2,6,3,0,0,905,Normal
0,33,17,0,1,658,DataExfil
19,708,6,0,0,72,Recon
8,904,2,0,0,113,Recon
2,27,7,0,1,3546,DataExfil
3,21,5,0,0,502,Normal
3,11,3,0,0,1642,Normal
2,24,4,0,0,602,Normal
1,11,3,0,0,554,Normal
2,22,12,0,1,1837,DataExfil
58,264,2,0,0,17,BruteForce
0,37,3,0,0,183,Normal
137,366,1,0,0,182,BruteForce
1,21,5,0,0,514,Normal
44,283,0,0,0,55,BruteForce
1,17,2,0,0,266,Normal
147,335,1,0,0,192,BruteForce
1,11,0,0,0,1359,Normal
2,11,0,0,0,618,Normal
121,191,2,0,0,184,BruteForce
3,11,17,0,1,762,DataExfil
0,8,3,0,0,1060,Normal
0,33,2,0,0,1718,Normal
2,9,17,0,1,1542,DataExfil
70,307,1,0,0,31,BruteForce
2,63,24,1,0,185,Injection
191,134,1,0,0,66,BruteForce
2,23,6,0,1,2911,DataExfil
7,1950,7,0,0,71,Recon
8,46,15,1,0,200,Injection
4,13,19,0,1,856,DataExfil
1,44,11,0,1,1401,DataExfil
3,4,5,0,0,1501,Normal
3,3,5,0,0,307,Normal
73,144,0,0,0,92,BruteForce
55,165,0,0,0,171,BruteForce
3,6,6,0,1,2097,DataExfil
2,31,3,0,0,1433,Normal
3,23,5,0,0,751,Normal
2,29,4,0,0,440,Normal
197,368,0,0,0,62,BruteForce
0,22,0,0,0,302,Normal
113,109,1,0,0,61,BruteForce
153,113,1,0,0,62,BruteForce
3,17,15,0,1,2094,DataExfil
6,43,32,1,1,134,Injection
0,15,0,0,0,1110,Normal
0,26,1,0,0,1239,Normal
126,187,1,0,0,273,BruteForce
0,29,3,0,0,1794,Normal
2,23,13,0,1,2546,DataExfil
3,40,6,0,1,3558,DataExfil
18,776,6,0,0,116,Recon
18,1000,7,0,0,94,Recon
99,316,2,0,0,184,BruteForce
0,13,4,0,0,1048,Normal
2,17,3,0,0,550,Normal
8,1132,4,0,0,87,Recon
76,397,0,0,0,110,BruteForce
2,28,0,0,0,1498,Normal
1,14,2,0,0,1379,Normal
2,13,1,0,0,860,Normal
1,20,13,0,1,928,DataExfil
0,40,17,0,1,2478,DataExfil
176,315,2,0,0,283,BruteForce
5,37,15,1,1,311,Injection
0,10,4,0,0,1187,Normal
1,13,4,0,0,1245,Normal
1,17,3,0,0,517,Normal
0,3,5,0,0,136,Normal
19,1140,9,0,0,104,Recon
1,38,0,0,0,238,Normal
0,44,16,0,1,3345,DataExfil
4,46,15,0,1,2822,DataExfil
1,41,10,0,1,2359,DataExfil
0,7,3,0,0,1781,Normal
82,472,0,0,0,144,BruteForce
2,13,15,0,1,3423,DataExfil
0,12,17,0,1,1682,DataExfil
2,29,0,0,0,276,Normal
3,13,3,0,0,590,Normal
3,99,23,1,0,493,Injection
71,127,1,0,0,242,BruteForce
1,7,1,0,0,1584,Normal
177,400,2,0,0,276,BruteForce
7,1983,4,0,0,115,Recon
2,1,0,0,0,683,Normal
1,31,0,0,0,805,Normal
0,5,3,0,0,480,Normal
1,33,1,0,0,541,Normal
54,323,0,0,0,131,BruteForce
4,143,36,1,0,361,Injection
1,3,5,0,0,1661,Normal
3,33,0,0,0,450,Normal
2,35,16,0,1,2205,DataExfil
3,35,3,0,0,679,Normal
2,26,5,0,0,1136,Normal
0,25,1,0,0,1162,Normal
1,18,1,0,0,1533,Normal
2,29,2,0,0,244,Normal
10,844,2,0,0,38,Recon
4,46,12,0,1,3125,DataExfil
0,48,31,1,0,152,Injection
0,37,1,0,0,1691,Normal
3,28,1,0,0,1398,Normal
143,421,2,0,0,100,BruteForce
2,29,2,0,0,1796,Normal
3,9,5,0,0,1390,Normal
18,728,9,0,0,97,Recon
2,20,3,0,0,748,Normal
2,39,2,0,0,837,Normal
155,448,0,0,0,100,BruteForce
0,1,1,0,0,273,Normal
19,1889,9,0,0,109,Recon
0,17,5,0,0,473,Normal
8,77,19,1,0,158,Injection
2,19,4,0,0,819,Normal
2,7,1,0,0,671,Normal
1,4,1,0,0,203,Normal
3,29,0,0,0,1511,Normal
2,28,5,0,0,1648,Normal
1,15,2,0,0,540,Normal
2,24,2,0,0,159,Normal
3,34,4,0,0,1679,Normal
3,3,1,0,0,552,Normal
155,378,0,0,0,78,BruteForce
0,6,4,0,0,1793,Normal
2,38,4,0,0,1460,Normal
3,22,3,0,0,963,Normal
2,36,0,0,0,1486,Normal
69,289,0,0,0,34,BruteForce
2,14,0,0,0,1525,Normal
2,36,5,0,0,332,Normal
55,158,2,0,0,296,BruteForce
2,38,19,0,1,853,DataExfil
178,109,1,0,0,282,BruteForce
150,252,2,0,0,111,BruteForce
0,55,8,0,1,1704,DataExfil
1,703,7,0,0,74,Recon
6,1108,9,0,0,85,Recon
0,29,0,0,0,1284,Normal
3,3,0,0,0,1718,Normal
4,59,5,0,1,2097,DataExfil
3,32,3,0,0,488,Normal
3,35,5,0,0,945,Normal
171,315,2,0,0,177,BruteForce
0,5,2,0,0,1479,Normal
4,52,18,0,1,2106,DataExfil
15,1490,9,0,0,24,Recon
6,11,36,1,0,578,Injection
2,3,1,0,0,1134,Normal
17,1099,8,0,0,101,Recon
165,152,2,0,0,292,BruteForce
1,33,4,0,0,688,Normal
4,58,12,0,1,1941,DataExfil
0,19,5,0,0,316,Normal
1,39,3,0,0,408,Normal
174,178,2,0,0,23,BruteForce
4,24,17,0,1,2415,DataExfil
1,8,1,0,0,1717,Normal
56,421,1,0,0,67,BruteForce
1,5,1,0,0,1617,Normal
110,486,1,0,0,107,BruteForce
3,2,3,0,0,705,Normal
9,48,41,1,0,289,Injection
0,20,3,0,0,522,Normal
150,421,1,0,0,299,BruteForce
5,36,24,1,0,411,Injection
139,158,1,0,0,74,BruteForce
0,10,4,0,0,1222,Normal
2,21,2,0,0,1391,Normal
137,124,0,0,0,293,BruteForce
84,167,2,0,0,146,BruteForce
0,10,3,0,0,1216,Normal
1,36,10,0,1,775,DataExfil
9,123,41,1,0,478,Injection
4,29,16,0,1,966,DataExfil
0,9,2,0,0,1034,Normal
56,142,0,0,0,50,BruteForce
3,39,0,0,0,876,Normal
3,51,19,0,1,3384,DataExfil
0,34,2,0,0,180,Normal
1,33,2,0,0,1671,Normal
3,10,1,0,0,1693,Normal
3,13,5,0,0,506,Normal
104,475,2,0,0,247,BruteForce
1,17,0,0,0,628,Normal
128,394,0,0,0,293,BruteForce
4,1248,2,0,0,60,Recon
1,47,15,0,1,1811,DataExfil
3,54,16,0,1,2242,DataExfil
17,662,6,0,0,15,Recon
43,313,2,0,0,70,BruteForce
3,4,3,0,0,1350,Normal
2,14,5,0,0,240,Normal
1,21,4,0,0,764,Normal
3,25,6,0,1,3102,DataExfil
3,92,49,1,1,188,Injection
3,27,1,0,0,1678,Normal
